,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,286,Dcover Jcover-fuzz,time(Seconds):,1881,Jcover test verification on,time(Seconds):,304
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
GraphJet Core,com.twitter.graphjet.hashing,SmallArrayBasedLongToDoubleMap.new Swapper() {...},n/a,n/a,Could not find file,11,0,0.0,11,0,0.0,10,1,0.09090909090909091
GraphJet Core,com.twitter.graphjet.hashing,SmallArrayBasedLongToDoubleMap.new IntComparator() {...},n/a,n/a,Could not find file,9,0,0.0,9,0,0.0,8,1,0.1111111111111111
GraphJet Core,com.twitter.graphjet.hashing,IntToIntPairConcurrentHashMap,,,,37,59,0.6145833333333334,25,71,0.7395833333333334,96,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,ArrayBasedLongToInternalIntFixedLengthBiMap,,,,32,47,0.5949367088607594,30,49,0.620253164556962,79,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,ShardedBigIntArray.ReaderAccessibleInfo,n/a,n/a,Could not find file,0,3,1.0,0,3,1.0,3,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,ArrayBasedLongToInternalIntBiMap,,,,30,41,0.5774647887323944,28,43,0.6056338028169014,71,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,IntToIntPairConcurrentHashMap.ReaderAccessibleInfo,n/a,n/a,Could not find file,0,5,1.0,0,5,1.0,5,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,IntToIntPairArrayIndexBasedMap,,,,1,24,0.96,1,24,0.96,25,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,ShardedBigLongArray.ReaderAccessibleInfo,n/a,n/a,Could not find file,0,3,1.0,0,3,1.0,3,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,SmallArrayBasedLongToDoubleMap,,,,23,45,0.6617647058823529,23,45,0.6617647058823529,21,47,0.6911764705882353
GraphJet Core,com.twitter.graphjet.hashing,ShardedBigIntArray,,,,13,59,0.8194444444444444,4,68,0.9444444444444444,72,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,LeftSegmentEdgeAccessor,,,,0,14,1.0,0,14,1.0,6,8,0.5714285714285714
GraphJet Core,com.twitter.graphjet.bipartite,ChronologicalMultiSegmentIterator,,,,9,0,0.0,9,0,0.0,9,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,LeftIndexedMultiSegmentBipartiteGraph,,,,18,31,0.6326530612244898,18,31,0.6326530612244898,49,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,ReverseChronologicalMultiSegmentIterator,,,,1,8,0.8888888888888888,1,8,0.8888888888888888,9,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,RightSegmentRandomEdgeAccessor,,,,15,0,0.0,15,0,0.0,8,7,0.4666666666666667
GraphJet Core,com.twitter.graphjet.bipartite,MultiSegmentPowerLawBipartiteGraph,,,,18,0,0.0,18,0,0.0,18,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,SmallLeftRegularBipartiteGraph,,,,2,2,0.5,2,2,0.5,4,0,0.0
